Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificResponder.java,org/apache/avro/specific/SpecificResponder.java,35,4,1,1,60,9060,96,46,24,55,46,13,151,46,37,511,181,127,23.0000,5.7287,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificRequestor.java,org/apache/avro/specific/SpecificRequestor.java,49,4,1,1,5,870,115,53,28,59,53,14,174,53,43,353,110,88,18.0000,5.1291,2,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificFixed.java,org/apache/avro/specific/SpecificFixed.java,26,1,1,1,0,0,28,28,28,0,0,0,28,28,28,141,141,141,24.0000,5.8972,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SchemaTask.java,org/apache/avro/specific/SchemaTask.java,26,4,1,1,5,450,59,28,14,31,28,7,90,28,22,355,110,88,18.0000,5.1605,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/ProtocolTask.java,org/apache/avro/specific/ProtocolTask.java,94,4,1,1,5,1435,196,84,49,91,84,22,287,84,71,355,110,88,18.0000,5.1605,9,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificRecord.java,org/apache/avro/specific/SpecificRecord.java,26,4,1,1,60,5520,60,30,15,32,30,8,92,30,23,511,181,127,23.0000,5.7287,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificRecordBase.java,org/apache/avro/specific/SpecificRecordBase.java,55,1,1,1,0,0,64,64,64,0,0,0,64,64,64,146,146,146,25.0000,5.9581,3,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificDatumReader.java,org/apache/avro/specific/SpecificDatumReader.java,42,8,1,4,60,33480,303,125,37,255,125,31,558,125,69,600,110,75,15.8750,4.8291,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificDatumWriter.java,org/apache/avro/specific/SpecificDatumWriter.java,31,6,1,3,60,9240,95,43,15,59,43,9,154,43,25,539,176,89,17.6667,4.9114,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificExceptionBase.java,org/apache/avro/specific/SpecificExceptionBase.java,33,1,1,1,0,0,40,40,40,0,0,0,40,40,40,146,146,146,25.0000,5.9581,2,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificCompiler.java,org/apache/avro/specific/SpecificCompiler.java,243,12,1,9,53,41393,525,225,43,256,225,21,781,225,65,561,110,46,12.0833,3.7749,24,No
