Feature,Valid observations,Point-biserial r,Point-biserial p-value,Spearman rho,Spearman p-value,Point-biserial adjusted p-value,Spearman adjusted p-value,Spearman direction,Spearman strength,Spearman statistically significant,Absolute Spearman rho
NR,1842,0.3016254793105989,4.7440892058465834e-40,0.2541650661307406,1.5088083618783344e-28,9.962587332277825e-39,3.168497559944502e-27,Positive,Weak,True,0.2541650661307406
NFix,1842,0.2869969210899093,2.913445271321499e-36,0.24549711280195763,1.0943715088988925e-26,3.059117534887574e-35,1.1490900843438371e-25,Positive,Weak,True,0.24549711280195763
Weighted_Age,1842,0.21190949614010418,3.810872075833604e-20,0.22477697460398877,1.5789911774865347e-22,1.3338052265417613e-19,1.1052938242405744e-21,Positive,Weak,True,0.22477697460398877
Average_Change_Set_Size,1842,-0.18959948437274957,2.28015716698583e-16,-0.2183841679835353,2.5179741431779295e-21,5.320366722966937e-16,1.321936425168413e-20,Negative,Weak,True,0.2183841679835353
Change_Set_Size,1842,0.26727946190889096,1.6803306164896632e-31,0.20379574087241134,1.0141716891428722e-18,1.1762314315427644e-30,4.259521094400063e-18,Positive,Weak,True,0.20379574087241134
LOC_Added,1842,0.18688160790251707,6.136319614512672e-16,0.20259931686935032,1.6264548386985255e-18,1.2886271190476612e-15,5.692591935444839e-18,Positive,Weak,True,0.20259931686935032
Churn,1842,0.20363618989607235,1.0802917849053846e-18,0.20142530790397106,2.5780081772025636e-18,2.8357659353766344e-18,7.73402453160769e-18,Positive,Weak,True,0.20142530790397106
NSmells,1842,0.0570942251059231,0.014256452259598732,0.19550280014650148,2.52173805995764e-17,0.01575713144481965,6.619562407388805e-17,Positive,Weak,True,0.19550280014650148
Age_in_Days,1842,0.22516640252914616,1.3301528230571842e-22,0.19517945083010843,2.850204948792883e-17,6.983302321050217e-22,6.65047821385006e-17,Positive,Weak,True,0.19517945083010843
Average_Entropy,1842,-0.17237915644681018,9.400490948659503e-14,-0.1892566479234461,2.585568301623527e-16,1.7946391811077234e-13,5.429693433409407e-16,Negative,Weak,True,0.1892566479234461
Size_LOC,1842,0.11529940941154476,6.988715986374885e-07,0.18815997535059617,3.859133814041712e-16,1.0483073979562329e-06,7.367437281352359e-16,Positive,Weak,True,0.18815997535059617
LOC_Deleted,1842,0.22032687215762414,1.095322258406375e-21,0.1793542491244036,8.809197832495888e-15,4.600353485306775e-21,1.5416096206867802e-14,Positive,Weak,True,0.1793542491244036
Max_LOC_Deleted,1842,0.21009764221338695,8.024281037022256e-20,0.17386721634096078,5.718981801972868e-14,2.407284311106677e-19,9.238355218571555e-14,Positive,Weak,True,0.17386721634096078
Average_ND,1842,-0.13112940951194235,1.6188578361773276e-08,-0.17031987675262825,1.8564793870080414e-13,2.615078043055683e-08,2.784719080512062e-13,Negative,Weak,True,0.17031987675262825
Max_Churn,1842,0.0864977000306889,0.00020176077690707632,0.15981916367884585,5.239376676014846e-12,0.00028246508766990684,7.335127346420785e-12,Positive,Weak,True,0.15981916367884585
Max_LOC_Added,1842,0.07671413368151,0.0009839395792681413,0.15323154746055137,3.815108345352144e-11,0.0012914206977894355,5.007329703274689e-11,Positive,Weak,True,0.15323154746055137
Average_LOC_Deleted,1842,0.14243140350033162,8.24566053893615e-10,0.1391631060741895,1.99975006493653e-09,1.4429905943138262e-09,2.4702794919804196e-09,Positive,Weak,True,0.1391631060741895
Max_Change_Set_Size,1842,-0.06740361062311695,0.00380135948470084,-0.09276070723004214,6.690016482732558e-05,0.004434919398817646,7.80501922985465e-05,Negative,Negligible,True,0.09276070723004214
NAuth,1842,0.0743441752521806,0.0014080495471519177,0.07290608608266338,0.0017417354531788607,0.001739355322952369,0.001925076027197688,Positive,Negligible,True,0.07290608608266338
Average_LOC_Added,1842,-0.04190474311062075,0.07216768945717641,-0.038408288924536085,0.09936985757892272,0.07577607393003524,0.10433835045786885,Negative,Negligible,False,0.038408288924536085
Average_Churn,1842,-0.01355367480997089,0.5610142971545817,0.010603109183357997,0.6492720498399239,0.5610142971545817,0.6492720498399239,Positive,Negligible,False,0.010603109183357997
