projName;classifier;balancing;featureSelection;sensitivity;TP_Rate;precision;recall;fMeasure;ROC_Area;kappa;NPofB20
AVRO;IBk;None;InfoGain;0,553;0,553;0,749;0,553;0,622;0,915;0,603;0,837
AVRO;IBk;None;None;0,589;0,589;0,768;0,589;0,653;0,922;0,634;0,861
AVRO;IBk;Oversampling;InfoGain;0,846;0,846;0,486;0,846;0,611;0,923;0,579;0,843
AVRO;IBk;Oversampling;None;0,856;0,856;0,486;0,856;0,615;0,925;0,583;0,855
AVRO;IBk;SMOTE;InfoGain;0,81;0,81;0,61;0,81;0,689;0,924;0,666;0,862
AVRO;IBk;SMOTE;None;0,803;0,803;0,631;0,803;0,699;0,927;0,678;0,868
AVRO;IBk;Undersampling;InfoGain;0,854;0,854;0,183;0,854;0,301;0,861;0,225;0,552
AVRO;IBk;Undersampling;None;0,868;0,868;0,188;0,868;0,308;0,868;0,234;0,576
AVRO;NaiveBayes;None;InfoGain;0,512;0,512;0,256;0,512;0,338;0,842;0,282;0,544
AVRO;NaiveBayes;None;None;0,707;0,707;0,232;0,707;0,348;0,873;0,284;0,576
AVRO;NaiveBayes;Oversampling;InfoGain;0,634;0,634;0,214;0,634;0,318;0,842;0,252;0,545
AVRO;NaiveBayes;Oversampling;None;0,693;0,693;0,207;0,693;0,317;0,82;0,249;0,524
AVRO;NaiveBayes;SMOTE;InfoGain;0,644;0,644;0,218;0,644;0,324;0,841;0,258;0,545
AVRO;NaiveBayes;SMOTE;None;0,703;0,703;0,204;0,703;0,316;0,816;0,247;0,511
AVRO;NaiveBayes;Undersampling;InfoGain;0,653;0,653;0,202;0,653;0,306;0,834;0,237;0,523
AVRO;NaiveBayes;Undersampling;None;0,677;0,677;0,189;0,677;0,293;0,816;0,221;0,501
AVRO;RandomForest;None;InfoGain;0,75;0,75;0,86;0,75;0,79;0,955;0,778;0,903
AVRO;RandomForest;None;None;0,687;0,687;0,827;0,687;0,74;0,935;0,725;0,87
AVRO;RandomForest;Oversampling;InfoGain;0,812;0,812;0,759;0,812;0,776;0,953;0,762;0,9
AVRO;RandomForest;Oversampling;None;0,826;0,826;0,762;0,826;0,785;0,953;0,771;0,899
AVRO;RandomForest;SMOTE;InfoGain;0,809;0,809;0,785;0,809;0,788;0,96;0,774;0,901
AVRO;RandomForest;SMOTE;None;0,8;0,8;0,78;0,8;0,782;0,968;0,768;0,908
AVRO;RandomForest;Undersampling;InfoGain;0,909;0,909;0,276;0,909;0,42;0,944;0,362;0,669
AVRO;RandomForest;Undersampling;None;0,915;0,915;0,281;0,915;0,428;0,947;0,371;0,666
