projName;classifier;balancing;featureSelection;sensitivity;TP_Rate;precision;recall;fMeasure;ROC_Area;kappa;NPofB20
AVRO;IBk;None;InfoGain;0,699;0,699;0,738;0,699;0,718;0,927;0,688;0,777
AVRO;IBk;None;None;0,407;0,407;0,618;0,407;0,491;0,901;0,439;0,768
AVRO;IBk;Oversampling;InfoGain;0,722;0,722;0,587;0,722;0,648;0,889;0,614;0,76
AVRO;IBk;Oversampling;None;0,734;0,734;0,582;0,734;0,65;0,9;0,615;0,771
AVRO;IBk;SMOTE;InfoGain;0,708;0,708;0,718;0,708;0,713;0,928;0,683;0,782
AVRO;IBk;SMOTE;None;0,694;0,694;0,725;0,694;0,709;0,935;0,68;0,788
AVRO;IBk;Undersampling;InfoGain;0,863;0,863;0,2;0,863;0,325;0,845;0,252;0,622
AVRO;IBk;Undersampling;None;0,874;0,874;0,195;0,874;0,319;0,847;0,245;0,625
AVRO;NaiveBayes;None;InfoGain;0,261;0,261;0,183;0,261;0,215;0,791;0,153;0,354
AVRO;NaiveBayes;None;None;0,722;0,722;0,154;0,722;0,254;0,837;0,173;0,498
AVRO;NaiveBayes;Oversampling;InfoGain;0,703;0,703;0,139;0,703;0,232;0,791;0,147;0,418
AVRO;NaiveBayes;Oversampling;None;0,592;0,592;0,146;0,592;0,234;0,784;0,153;0,392
AVRO;NaiveBayes;SMOTE;InfoGain;0,369;0,369;0,183;0,369;0,244;0,793;0,177;0,388
AVRO;NaiveBayes;SMOTE;None;0,395;0,395;0,159;0,395;0,227;0,787;0,154;0,349
AVRO;NaiveBayes;Undersampling;InfoGain;0,676;0,676;0,128;0,676;0,215;0,772;0,127;0,407
AVRO;NaiveBayes;Undersampling;None;0,572;0,572;0,134;0,572;0,217;0,768;0,133;0,383
AVRO;RandomForest;None;InfoGain;0,683;0,683;0,834;0,683;0,751;0,957;0,724;0,884
AVRO;RandomForest;None;None;0,43;0,43;0,62;0,43;0,508;0,903;0,458;0,771
AVRO;RandomForest;Oversampling;InfoGain;0,756;0,756;0,697;0,756;0,725;0,949;0,696;0,88
AVRO;RandomForest;Oversampling;None;0,759;0,759;0,714;0,759;0,736;0,954;0,708;0,89
AVRO;RandomForest;SMOTE;InfoGain;0,723;0,723;0,803;0,723;0,761;0,959;0,734;0,886
AVRO;RandomForest;SMOTE;None;0,708;0,708;0,818;0,708;0,759;0,961;0,734;0,9
AVRO;RandomForest;Undersampling;InfoGain;0,911;0,911;0,229;0,911;0,366;0,934;0,297;0,646
AVRO;RandomForest;Undersampling;None;0,922;0,922;0,223;0,922;0,36;0,935;0,29;0,634
