Dataset,Classifier,Balancing,FeatureSelection,Iteration,Fold,Precision,Recall,AUC,Kappa,NPofB20
AVRO,RandomForest,None,None,1,1,0.6923,0.8182,0.9391,0.7328,0.9091
AVRO,RandomForest,None,None,1,2,0.7000,0.6364,0.7866,0.6467,0.6364
AVRO,RandomForest,None,None,1,3,0.8000,0.8000,0.9905,0.7885,0.9000
AVRO,RandomForest,None,None,1,4,1.0000,0.3636,0.9204,0.5180,0.8182
AVRO,RandomForest,None,None,1,5,0.9000,0.8182,0.9390,0.8485,0.9091
AVRO,RandomForest,None,None,1,6,0.8750,0.6364,0.9900,0.7229,0.9445
AVRO,RandomForest,None,None,1,7,1.0000,0.5455,0.9443,0.6929,0.9091
AVRO,RandomForest,None,None,1,8,1.0000,0.7273,0.9976,0.8337,1.0000
AVRO,RandomForest,None,None,1,9,0.8571,0.5455,0.8064,0.6504,0.6364
AVRO,RandomForest,None,None,1,10,0.8333,0.9091,0.9790,0.8609,0.9091
AVRO,RandomForest,None,None,2,1,0.8750,0.6364,0.8830,0.7230,0.8182
AVRO,RandomForest,None,None,2,2,0.5385,0.6364,0.8668,0.5546,0.7273
AVRO,RandomForest,None,None,2,3,0.8889,0.8000,0.9859,0.8335,1.0000
AVRO,RandomForest,None,None,2,4,1.0000,0.7273,0.9262,0.8337,0.8182
AVRO,RandomForest,None,None,2,5,0.8750,0.6364,0.9411,0.7229,0.9091
AVRO,RandomForest,None,None,2,6,0.9167,1.0000,0.9995,0.9536,1.0000
AVRO,RandomForest,None,None,2,7,0.5625,0.8182,0.9312,0.6412,0.9091
AVRO,RandomForest,None,None,2,8,0.8000,0.7273,0.9698,0.7475,0.8182
AVRO,RandomForest,None,None,2,9,0.6364,0.6364,0.9737,0.6132,1.0000
AVRO,RandomForest,None,None,2,10,0.8750,0.6364,0.9222,0.7229,0.9091
AVRO,RandomForest,None,None,3,1,1.0000,0.8182,0.9451,0.8943,0.9091
AVRO,RandomForest,None,None,3,2,0.8889,0.7273,0.8770,0.7887,0.8182
AVRO,RandomForest,None,None,3,3,0.8889,0.8000,0.9368,0.8335,0.9000
AVRO,RandomForest,None,None,3,4,0.8333,0.4545,0.9769,0.5701,0.9091
AVRO,RandomForest,None,None,3,5,1.0000,0.6364,0.9853,0.7669,0.9830
AVRO,RandomForest,None,None,3,6,0.8889,0.7273,0.9335,0.7886,0.9091
AVRO,RandomForest,None,None,3,7,0.7778,0.6364,0.9743,0.6829,0.9091
AVRO,RandomForest,None,None,3,8,0.8750,0.6364,0.9850,0.7229,0.9091
AVRO,RandomForest,None,None,3,9,0.8182,0.8182,0.9314,0.8066,0.8182
AVRO,RandomForest,None,None,3,10,0.7273,0.7273,0.9338,0.7099,0.9091
AVRO,RandomForest,None,None,4,1,0.7273,0.7273,0.9788,0.7100,0.8953
AVRO,RandomForest,None,None,4,2,1.0000,0.8182,0.9431,0.8943,0.9091
AVRO,RandomForest,None,None,4,3,1.0000,0.5000,0.9790,0.6541,1.0000
AVRO,RandomForest,None,None,4,4,0.6667,0.3636,0.8032,0.4473,0.5455
AVRO,RandomForest,None,None,4,5,1.0000,0.6364,0.9388,0.7669,0.9091
AVRO,RandomForest,None,None,4,6,0.7692,0.9091,0.9958,0.8218,1.0000
AVRO,RandomForest,None,None,4,7,0.6000,0.5455,0.8492,0.5456,0.6364
AVRO,RandomForest,None,None,4,8,0.8000,0.7273,0.9900,0.7475,1.0000
AVRO,RandomForest,None,None,4,9,0.7778,0.6364,0.9362,0.6829,0.9091
AVRO,RandomForest,None,None,4,10,0.5833,0.6364,0.9782,0.5827,1.0000
AVRO,RandomForest,None,None,5,1,0.7000,0.6364,0.9817,0.6467,0.8606
AVRO,RandomForest,None,None,5,2,0.5714,0.7273,0.9833,0.6143,1.0000
AVRO,RandomForest,None,None,5,3,1.0000,0.6000,0.9319,0.7394,0.9000
AVRO,RandomForest,None,None,5,4,1.0000,0.6364,0.9322,0.7669,0.9091
AVRO,RandomForest,None,None,5,5,0.8000,0.7273,0.9049,0.7475,0.7273
AVRO,RandomForest,None,None,5,6,1.0000,0.7273,0.9848,0.8337,1.0000
AVRO,RandomForest,None,None,5,7,0.7692,0.9091,0.9398,0.8218,0.9091
AVRO,RandomForest,None,None,5,8,1.0000,0.7273,0.8886,0.8337,0.8182
AVRO,RandomForest,None,None,5,9,0.8889,0.7273,0.9317,0.7886,0.8182
AVRO,RandomForest,None,None,5,10,0.8750,0.6364,0.8347,0.7229,0.7273
AVRO,RandomForest,None,None,6,1,0.6667,0.3636,0.9266,0.4474,0.8494
AVRO,RandomForest,None,None,6,2,1.0000,0.9091,0.9893,0.9495,0.9091
AVRO,RandomForest,None,None,6,3,0.5000,0.4000,0.9055,0.4162,0.8000
AVRO,RandomForest,None,None,6,4,0.7500,0.5455,0.8731,0.6120,0.6364
AVRO,RandomForest,None,None,6,5,0.8000,0.7273,0.9721,0.7475,0.9091
AVRO,RandomForest,None,None,6,6,1.0000,0.6364,0.8883,0.7669,0.8182
AVRO,RandomForest,None,None,6,7,1.0000,0.8182,0.9926,0.8943,1.0000
AVRO,RandomForest,None,None,6,8,0.4545,0.4545,0.8229,0.4199,0.5455
AVRO,RandomForest,None,None,6,9,0.6923,0.8182,0.9427,0.7327,0.9091
AVRO,RandomForest,None,None,6,10,0.8889,0.7273,0.8778,0.7886,0.8182
AVRO,RandomForest,None,None,7,1,0.8571,0.5455,0.9929,0.6505,1.0000
AVRO,RandomForest,None,None,7,2,0.8000,0.7273,0.9472,0.7476,0.7273
AVRO,RandomForest,None,None,7,3,0.6250,0.5000,0.9293,0.5330,0.9000
AVRO,RandomForest,None,None,7,4,1.0000,0.5455,0.8783,0.6929,0.8182
AVRO,RandomForest,None,None,7,5,1.0000,0.9091,0.9968,0.9495,0.9907
AVRO,RandomForest,None,None,7,6,0.7273,0.7273,0.9175,0.7099,0.8182
AVRO,RandomForest,None,None,7,7,0.7500,0.5455,0.8841,0.6120,0.8182
AVRO,RandomForest,None,None,7,8,0.7500,0.8182,0.9393,0.7681,0.9091
AVRO,RandomForest,None,None,7,9,0.8571,0.5455,0.9335,0.6504,0.9091
AVRO,RandomForest,None,None,7,10,0.6667,0.7273,0.9388,0.6754,0.9091
AVRO,RandomForest,None,None,8,1,0.7143,0.4545,0.8660,0.5340,0.7273
AVRO,RandomForest,None,None,8,2,0.8889,0.7273,0.9901,0.7887,1.0000
AVRO,RandomForest,None,None,8,3,1.0000,0.6000,0.9793,0.7394,1.0000
AVRO,RandomForest,None,None,8,4,0.8750,0.6364,0.8353,0.7229,0.7273
AVRO,RandomForest,None,None,8,5,0.8000,0.7273,0.8749,0.7475,0.7273
AVRO,RandomForest,None,None,8,6,0.6250,0.4545,0.9130,0.5012,0.8182
AVRO,RandomForest,None,None,8,7,0.8333,0.9091,0.9803,0.8609,0.9091
AVRO,RandomForest,None,None,8,8,0.9167,1.0000,0.9995,0.9536,1.0000
AVRO,RandomForest,None,None,8,9,0.7500,0.8182,0.9895,0.7681,0.9695
AVRO,RandomForest,None,None,8,10,0.8333,0.9091,0.9955,0.8609,1.0000
AVRO,RandomForest,None,None,9,1,1.0000,0.6364,0.8613,0.7670,0.7273
AVRO,RandomForest,None,None,9,2,0.8750,0.6364,0.9470,0.7230,0.7273
AVRO,RandomForest,None,None,9,3,0.6923,0.9000,0.9902,0.7684,1.0000
AVRO,RandomForest,None,None,9,4,1.0000,0.7273,0.9937,0.8337,1.0000
AVRO,RandomForest,None,None,9,5,0.7273,0.7273,0.9674,0.7099,0.9091
AVRO,RandomForest,None,None,9,6,0.6250,0.4545,0.8734,0.5012,0.7273
AVRO,RandomForest,None,None,9,7,1.0000,0.6364,0.9383,0.7669,0.8182
AVRO,RandomForest,None,None,9,8,0.7778,0.6364,0.9196,0.6829,0.8182
AVRO,RandomForest,None,None,9,9,0.7143,0.9091,0.9451,0.7856,0.9091
AVRO,RandomForest,None,None,9,10,0.8750,0.6364,0.9393,0.7229,0.9091
AVRO,RandomForest,None,None,10,1,1.0000,0.6364,0.9833,0.7670,1.0000
AVRO,RandomForest,None,None,10,2,0.8182,0.8182,0.9410,0.8067,0.9091
AVRO,RandomForest,None,None,10,3,1.0000,0.9000,0.9943,0.9445,1.0000
AVRO,RandomForest,None,None,10,4,0.5714,0.7273,0.9669,0.6142,0.8182
AVRO,RandomForest,None,None,10,5,1.0000,0.5455,0.8200,0.6929,0.6364
AVRO,RandomForest,None,None,10,6,0.8889,0.7273,0.9884,0.7886,1.0000
AVRO,RandomForest,None,None,10,7,0.7500,0.5455,0.9614,0.6120,0.8182
AVRO,RandomForest,None,None,10,8,1.0000,0.6364,0.8382,0.7669,0.7273
AVRO,RandomForest,None,None,10,9,0.7778,0.6364,0.8894,0.6829,0.8182
AVRO,RandomForest,None,None,10,10,0.7500,0.8182,0.9390,0.7681,0.9091
AVRO,RandomForest,Undersampling,None,1,1,0.3226,0.9091,0.9752,0.4258,0.7273
