Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificRequestor.java,org/apache/avro/specific/SpecificRequestor.java,49,4,1,1,5,870,115,53,28,59,53,14,174,53,43,353,110,88,18,5.1291,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/ProtocolTask.java,org/apache/avro/specific/ProtocolTask.java,94,4,1,1,5,1435,196,84,49,91,84,22,287,84,71,355,110,88,18,5.1605,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificRecordBase.java,org/apache/avro/specific/SpecificRecordBase.java,55,1,1,1,0,0,64,64,64,0,0,0,64,64,64,146,146,146,25,5.9581,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificExceptionBase.java,org/apache/avro/specific/SpecificExceptionBase.java,33,1,1,1,0,0,40,40,40,0,0,0,40,40,40,146,146,146,25,5.9581,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificCompiler.java,org/apache/avro/specific/SpecificCompiler.java,243,12,1,9,53,41393,525,225,43,256,225,21,781,225,65,561,110,46,12.0833,3.7749,0,No
AVRO,1.0.0,src/java/org/apache/avro/util/Utf8.java,org/apache/avro/util/Utf8.java,69,3,1,0,0,0,160,80,53,80,80,26,240,80,80,330,110,110,21,5.4979,0,No
AVRO,1.0.0,src/java/org/apache/avro/file/DataFileReader.java,org/apache/avro/file/DataFileReader.java,188,6,1,3,75,50550,446,208,74,228,208,38,674,208,112,610,174,101,19.8333,4.9818,0,No
AVRO,1.0.0,src/java/org/apache/avro/file/DataFileWriter.java,org/apache/avro/file/DataFileWriter.java,167,6,1,3,75,43875,389,183,64,196,183,32,585,183,97,610,174,101,19.8333,4.9818,0,No
AVRO,1.0.0,src/java/org/apache/avro/Schema.java,org/apache/avro/Schema.java,663,16,1,12,71,149029,1412,451,88,687,451,42,2099,451,131,677,111,42,11.125,3.4041,0,No
AVRO,1.0.0,src/java/org/apache/avro/Protocol.java,org/apache/avro/Protocol.java,294,13,1,9,71,79023,726,300,55,387,300,29,1113,300,85,674,110,51,12.9231,3.9502,0,No
AVRO,1.0.0,src/java/org/apache/avro/reflect/ReflectDatumReader.java,org/apache/avro/reflect/ReflectDatumReader.java,104,8,1,5,60,25680,273,92,34,155,92,19,428,92,53,595,131,74,16,4.7538,0,No
AVRO,1.0.0,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,org/apache/avro/reflect/ReflectDatumWriter.java,57,8,1,5,75,18600,158,61,19,90,61,11,248,61,31,657,137,82,17.125,4.6565,0,No
AVRO,1.0.0,src/java/org/apache/avro/reflect/ReflectResponder.java,org/apache/avro/reflect/ReflectResponder.java,109,8,1,5,75,30000,262,118,32,138,118,17,400,118,50,668,131,83,17.5,4.7965,0,No
AVRO,1.0.0,src/java/org/apache/avro/reflect/ReflectData.java,org/apache/avro/reflect/ReflectData.java,225,9,1,5,60,41640,469,194,52,225,194,25,694,194,77,623,131,69,15.6667,4.4745,0,No
AVRO,1.0.0,src/java/org/apache/avro/reflect/ReflectRequestor.java,org/apache/avro/reflect/ReflectRequestor.java,73,5,1,2,75,19725,174,77,34,89,77,17,263,77,52,575,222,115,20.8,5.276,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/ResolvingDecoder.java,org/apache/avro/io/ResolvingDecoder.java,211,1,1,1,0,0,223,223,223,0,0,0,223,223,223,241,241,241,36,6.4052,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/BinaryDecoder.java,org/apache/avro/io/BinaryDecoder.java,263,2,1,2,1,310,305,305,152,5,5,2,310,305,155,260,229,130,21,5.2015,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/Decoder.java,org/apache/avro/io/Decoder.java,257,2,1,2,1,291,289,279,144,2,2,1,291,279,145,260,229,130,21,5.2015,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/ValidatingEncoder.java,org/apache/avro/io/ValidatingEncoder.java,199,1,1,1,0,0,225,225,225,0,0,0,225,225,225,241,241,241,36,6.4052,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/BinaryEncoder.java,org/apache/avro/io/BinaryEncoder.java,213,2,1,2,1,282,266,266,133,16,16,8,282,266,141,260,229,130,21,5.2015,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/ParsingTable.java,org/apache/avro/io/ParsingTable.java,333,1,1,1,0,0,383,383,383,0,0,0,383,383,383,241,241,241,36,6.4052,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,org/apache/avro/io/BlockingBinaryEncoder.java,536,2,1,2,18,11376,627,622,313,5,5,2,632,622,316,298,205,149,25.5,4.7283,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/ResolvingTable.java,org/apache/avro/io/ResolvingTable.java,434,1,1,1,0,0,489,489,489,0,0,0,489,489,489,241,241,241,36,6.4052,0,No
