Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificResponder.java,org/apache/avro/specific/SpecificResponder.java,35,4,1,1,60,9060,96,46,24,55,46,13,151,46,37,511,181,127,23,5.7287,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificFixed.java,org/apache/avro/specific/SpecificFixed.java,26,1,1,1,0,0,28,28,28,0,0,0,28,28,28,141,141,141,24,5.8972,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SchemaTask.java,org/apache/avro/specific/SchemaTask.java,26,4,1,1,5,450,59,28,14,31,28,7,90,28,22,355,110,88,18,5.1605,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificRecord.java,org/apache/avro/specific/SpecificRecord.java,26,4,1,1,60,5520,60,30,15,32,30,8,92,30,23,511,181,127,23,5.7287,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificDatumReader.java,org/apache/avro/specific/SpecificDatumReader.java,42,8,1,4,60,33480,303,125,37,255,125,31,558,125,69,600,110,75,15.875,4.8291,0,No
AVRO,1.0.0,src/java/org/apache/avro/specific/SpecificDatumWriter.java,org/apache/avro/specific/SpecificDatumWriter.java,31,6,1,3,60,9240,95,43,15,59,43,9,154,43,25,539,176,89,17.6667,4.9114,0,No
AVRO,1.0.0,src/java/org/apache/avro/SchemaParseException.java,org/apache/avro/SchemaParseException.java,22,3,1,0,0,0,48,24,16,24,24,8,72,24,24,330,110,110,21,5.4979,0,No
AVRO,1.0.0,src/java/org/apache/avro/file/SeekableFileInput.java,org/apache/avro/file/SeekableFileInput.java,27,3,1,0,0,0,64,32,21,32,32,10,96,32,32,330,110,110,21,5.4979,0,No
AVRO,1.0.0,src/java/org/apache/avro/file/SeekableInput.java,org/apache/avro/file/SeekableInput.java,30,3,1,0,0,0,72,36,24,36,36,12,108,36,36,330,110,110,21,5.4979,0,No
AVRO,1.0.0,src/java/org/apache/avro/reflect/FixedSize.java,org/apache/avro/reflect/FixedSize.java,28,1,1,1,0,0,30,30,30,0,0,0,30,30,30,141,141,141,24,5.8972,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/DatumReader.java,org/apache/avro/io/DatumReader.java,31,5,1,2,75,9300,81,39,16,43,39,8,124,39,24,589,181,117,21.8,5.1529,0,No
AVRO,1.0.0,src/java/org/apache/avro/io/DatumWriter.java,org/apache/avro/io/DatumWriter.java,30,5,1,2,75,8625,75,36,15,40,36,8,115,36,23,589,181,117,21.8,5.1529,0,No
AVRO,1.0.0,src/java/org/apache/avro/generic/GenericRecord.java,org/apache/avro/generic/GenericRecord.java,25,3,1,0,0,0,56,28,18,28,28,9,84,28,28,330,110,110,21,5.4979,0,No
AVRO,1.0.0,src/java/org/apache/avro/generic/GenericArray.java,org/apache/avro/generic/GenericArray.java,31,4,1,1,60,6720,74,37,18,38,37,9,112,37,28,511,181,127,23,5.7287,0,No
AVRO,1.0.0,src/java/org/apache/avro/generic/GenericResponder.java,org/apache/avro/generic/GenericResponder.java,45,5,1,2,75,14100,121,53,24,67,53,13,188,53,37,575,222,115,20.8,5.276,0,No
AVRO,1.0.0,src/java/org/apache/avro/ipc/Transceiver.java,org/apache/avro/ipc/Transceiver.java,34,4,1,1,53,6466,82,40,20,40,40,10,122,40,30,442,112,110,21,5.6123,0,No
AVRO,1.0.0,src/java/org/apache/avro/AvroTypeException.java,org/apache/avro/AvroTypeException.java,22,4,1,1,60,5220,56,28,14,31,28,7,87,28,21,511,181,127,23,5.7287,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificResponder.java,org/apache/avro/specific/SpecificResponder.java,34,6,1,3,124,19220,98,46,16,57,46,9,155,46,25,800,253,133,22,5.4911,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificFixed.java,org/apache/avro/specific/SpecificFixed.java,26,2,1,2,67,1943,29,28,14,0,0,0,29,28,14,419,278,209,29.5,6.0364,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SchemaTask.java,org/apache/avro/specific/SchemaTask.java,26,5,1,2,109,9919,60,28,12,31,28,6,91,28,18,654,299,130,21.8,5.4319,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificRecord.java,org/apache/avro/specific/SpecificRecord.java,25,6,1,3,145,14210,63,30,10,35,30,5,98,30,16,846,253,141,24.3333,5.6425,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificDatumReader.java,org/apache/avro/specific/SpecificDatumReader.java,41,10,1,6,124,69688,305,125,30,257,125,25,562,125,56,889,253,88,16.7,4.8665,0,No
AVRO,1.1.0,src/java/org/apache/avro/specific/SpecificDatumWriter.java,org/apache/avro/specific/SpecificDatumWriter.java,30,8,1,5,124,19592,97,43,12,61,43,7,158,43,19,828,253,103,18.25,4.9375,0,No
AVRO,1.1.0,src/java/org/apache/avro/SchemaParseException.java,org/apache/avro/SchemaParseException.java,22,4,1,1,109,7957,49,24,12,24,24,6,73,24,18,628,298,157,25,5.7587,0,No
AVRO,1.1.0,src/java/org/apache/avro/file/SeekableFileInput.java,org/apache/avro/file/SeekableFileInput.java,29,4,1,1,109,11009,68,32,17,33,32,8,101,32,25,628,298,157,25,5.7587,0,No
AVRO,1.1.0,src/java/org/apache/avro/file/SeekableInput.java,org/apache/avro/file/SeekableInput.java,30,5,1,2,124,14756,78,36,15,41,36,8,119,36,23,664,298,132,21.8,5.4875,0,No
AVRO,1.1.0,src/java/org/apache/avro/reflect/FixedSize.java,org/apache/avro/reflect/FixedSize.java,34,3,1,3,81,3483,40,30,13,3,2,1,43,30,14,455,278,151,22.6667,5.4918,0,No
AVRO,1.1.0,src/java/org/apache/avro/reflect/ReflectDatumWriter.java,org/apache/avro/reflect/ReflectDatumWriter.java,55,15,1,12,145,44950,188,61,12,122,61,8,310,61,20,1032,169,68,15,4.4048,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/DatumReader.java,org/apache/avro/io/DatumReader.java,31,5,1,2,75,9300,81,39,16,43,39,8,124,39,24,589,181,117,21.8,5.1529,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/DatumWriter.java,org/apache/avro/io/DatumWriter.java,30,6,1,3,109,12644,76,36,12,40,36,6,116,36,19,805,216,134,23,5.3429,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericRecord.java,org/apache/avro/generic/GenericRecord.java,22,5,1,2,145,13630,59,28,11,35,28,7,94,28,18,710,298,142,24.6,5.6691,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericArray.java,org/apache/avro/generic/GenericArray.java,31,6,1,3,145,16675,76,37,12,39,37,6,115,37,19,846,253,141,24.3333,5.6425,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericResponder.java,org/apache/avro/generic/GenericResponder.java,45,6,1,3,109,20601,122,53,20,67,53,11,189,53,31,791,222,131,22.1667,5.4455,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/Transceiver.java,org/apache/avro/ipc/Transceiver.java,34,5,1,2,109,13843,85,40,17,42,40,8,127,40,25,712,270,142,23.2,5.6966,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/RPCPlugin.java,org/apache/avro/ipc/RPCPlugin.java,65,1,1,1,0,0,74,74,74,0,0,0,74,74,74,298,298,298,36,6.6998,0,No
AVRO,1.1.0,src/java/org/apache/avro/AvroTypeException.java,org/apache/avro/AvroTypeException.java,22,5,1,2,109,9592,57,28,11,31,28,6,88,28,17,764,253,152,24.6,5.7088,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificResponder.java,org/apache/avro/specific/SpecificResponder.java,34,7,1,4,169,26533,99,46,14,58,46,8,157,46,22,908,253,129,22.2857,5.4998,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SpecificFixed.java,org/apache/avro/specific/SpecificFixed.java,26,2,1,2,67,1943,29,28,14,0,0,0,29,28,14,419,278,209,29.5,6.0364,0,No
AVRO,1.2.0,src/java/org/apache/avro/specific/SchemaTask.java,org/apache/avro/specific/SchemaTask.java,26,6,1,3,169,16055,62,28,10,33,28,5,95,28,15,777,299,129,22.3333,5.5093,0,No
