Class,Code Smells,LOC,Methods,Decisions
lang/java/avro/src/main/java/org/apache/avro/Schema.java,138,2004,266,230
lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,103,398,26,65
lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,81,939,80,66
lang/java/idl/src/main/java/org/apache/avro/idl/IdlReader.java,80,949,112,104
lang/java/trevni/core/src/main/java/org/apache/trevni/InputBuffer.java,75,352,26,56
lang/java/trevni/core/src/main/java/org/apache/trevni/OutputBuffer.java,71,302,26,58
lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java,66,1442,144,228
lang/java/tools/src/main/java/org/apache/avro/tool/SpecificCompilerTool.java,55,290,26,32
lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,54,495,30,36
lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java,51,1317,142,199
lang/java/avro/src/main/java/org/apache/avro/Resolver.java,50,731,49,111
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java,49,979,99,176
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Symbol.java,47,614,71,35
lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java,45,499,77,49
lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,43,353,19,91
lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java,43,2428,290,23
lang/java/avro/src/main/java/org/apache/avro/io/FastReaderBuilder.java,41,531,70,86
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServlet.java,41,210,15,8
lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java,40,511,37,44
lang/java/avro/src/main/java/org/apache/avro/util/springframework/ConcurrentReferenceHashMap.java,37,972,96,71
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectionUtil.java,36,182,17,22
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketTransceiver.java,35,370,43,39
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java,33,616,54,110
lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java,32,481,72,51
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileRepairTool.java,31,266,23,32
lang/java/avro/src/main/java/org/apache/avro/util/springframework/ObjectUtils.java,29,301,17,42
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyTransceiver.java,29,545,44,37
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/Histogram.java,29,234,29,11
lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java,27,216,14,21
lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.java,25,355,35,30
lang/java/avro/src/main/java/org/apache/avro/reflect/ArrayAccessor.java,24,200,15,36
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java,23,614,58,73
lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java,23,294,27,20
lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufData.java,23,363,36,73
lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java,23,303,28,53
lang/java/idl/src/main/java/org/apache/avro/idl/IdlUtils.java,22,508,55,68
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroMultipleOutputs.java,22,524,34,48
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroColumnReader.java,22,253,25,42
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetheredProcess.java,22,191,5,19
lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java,20,381,32,46
lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftData.java,20,242,22,36
lang/java/avro/src/main/java/org/apache/avro/io/parsing/Parser.java,19,171,12,13
lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherOutputService.java,19,104,13,8
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/AbstractAvroMojo.java,18,427,21,31
