"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","18","A high number of imports (38) can indicate a high degree of coupling within an object; current threshold is 30.","Design","ExcessiveImports"
"2","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","18","A value of 49 may denote a high amount of coupling within the class (threshold: 20)","Design","CouplingBetweenObjects"
"3","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","96","Possible God Class (WMC=254, ATFD=118, TCC=0.821%)","Design","GodClass"
"4","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","96","The class 'Schema' has a total cyclomatic complexity of 254 (highest 26).","Design","CyclomaticComplexity"
"5","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","96","This class has 58 public methods and attributes; current threshold is 45.","Design","ExcessivePublicCount"
"6","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","96","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"7","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","152","The method 'create(Type)' has a cyclomatic complexity of 10.","Design","CyclomaticComplexity"
"8","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","176","The String literal 'doc' appears 7 times in this file; the first occurrence is on line 176","Error Prone","AvoidDuplicateLiterals"
"9","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","176","The String literal 'name' appears 6 times in this file; the first occurrence is on line 176","Error Prone","AvoidDuplicateLiterals"
"10","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","176","The String literal 'namespace' appears 4 times in this file; the first occurrence is on line 176","Error Prone","AvoidDuplicateLiterals"
"11","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","176","The String literal 'type' appears 11 times in this file; the first occurrence is on line 176","Error Prone","AvoidDuplicateLiterals"
"12","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","176","The String literal 'aliases' appears 5 times in this file; the first occurrence is on line 176","Error Prone","AvoidDuplicateLiterals"
"13","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","180","The String literal 'default' appears 6 times in this file; the first occurrence is on line 180","Error Prone","AvoidDuplicateLiterals"
"14","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","183","Field hashCode has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"15","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","237","Rather than using a lot of String arguments, consider using a container object for those values.","Design","UseObjectForClearerAPI"
"16","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","277","The String literal 'Not a record: ' appears 6 times in this file; the first occurrence is on line 277","Error Prone","AvoidDuplicateLiterals"
"17","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","305","The String literal 'Not an enum: ' appears 4 times in this file; the first occurrence is on line 305","Error Prone","AvoidDuplicateLiterals"
"18","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","341","The String literal 'Not a named type: ' appears 4 times in this file; the first occurrence is on line 341","Error Prone","AvoidDuplicateLiterals"
"19","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","483","Use opposite operator instead of the logic complement operator.","Design","LogicInversion"
"20","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","514","Enums should be compared using ==","Best Practices","EnumComparison"
"21","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","527","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"22","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","566","Field name has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"23","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","568","Field schema has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"24","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","569","Field doc has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"25","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","570","Field defaultValue has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"26","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","571","Field order has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"27","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","572","Field aliases has the same name as a method","Error Prone","AvoidFieldNameMatchingMethodName"
"28","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","715","Access to field `type` on foreign value `schema` (degree 1)","Design","LawOfDemeter"
"29","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","720","It is somewhat confusing to have a field name matching the declaring class name","Error Prone","AvoidFieldNameMatchingTypeName"
"30","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","724","Public member 'Name' declared in a non-public type","Design","PublicMemberInNonPublicType"
"31","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","726","Avoid assignments in operands","Error Prone","AssignmentInOperand"
"32","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","726","Avoid assignments in operands","Error Prone","AssignmentInOperand"
"33","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","2","733","Avoid reassigning parameters such as 'space'","Best Practices","AvoidReassigningParameters"
"34","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","736","Avoid using literals such as '' in if statements","Error Prone","AvoidLiteralsInIfCondition"
"35","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","737","Assigning an Object to null is a code smell.  Consider refactoring.","Error Prone","NullAssignment"
"36","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","762","Public member 'writeName' declared in a non-public type","Design","PublicMemberInNonPublicType"
"37","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","773","Public member 'getQualified' declared in a non-public type","Design","PublicMemberInNonPublicType"
"38","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","802","Classes implementing Serializable should set a serialVersionUID","Error Prone","MissingSerialVersionUID"
"39","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","803","The field 'name' of serializable class 'org.apache.avro.Schema$NamedSchema' is of non-serializable type 'org.apache.avro.Schema$Name'.","Error Prone","NonSerializableClass"
"40","org.apache.avro","/Users/lele/Desktop/ISW2_project/avro/lang/java/avro/src/main/java/org/apache/avro/Schema.java","3","807","Public member 'NamedSchema' declared in a non-public type","Design","PublicMemberInNonPublicType"
