Class_Path,Code_Smells,Lines_Of_Code
"lang/java/avro/src/main/java/org/apache/avro/Schema.java",86,1674
"lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectData.java",48,832
"lang/java/avro/src/main/java/org/apache/avro/generic/GenericData.java",45,1176
"lang/java/avro/src/main/java/org/apache/avro/io/parsing/Symbol.java",29,463
"lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumReader.java",27,518
"lang/java/avro/src/main/java/org/apache/avro/specific/SpecificData.java",27,475
"lang/java/avro/src/main/java/org/apache/avro/Resolver.java",26,473
"lang/java/avro/src/main/java/org/apache/avro/Protocol.java",24,500
"lang/java/tools/src/main/java/org/apache/avro/tool/SpecificCompilerTool.java",22,254
"lang/java/avro/src/main/java/org/apache/avro/SchemaBuilder.java",20,1208
"lang/java/protobuf/src/main/java/org/apache/avro/protobuf/ProtobufData.java",17,336
"lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketTransceiver.java",16,336
"lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SpecificCompiler.java",16,965
"lang/java/thrift/src/main/java/org/apache/avro/thrift/ThriftData.java",15,217
"lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java",14,368
"lang/java/ipc/src/main/java/org/apache/avro/ipc/Requestor.java",14,379
"lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsServlet.java",14,169
"lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/AvroColumnReader.java",10,221
"lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java",10,707
"lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMultipleOutputs.java",9,234
"lang/java/avro/src/main/java/org/apache/avro/util/springframework/ConcurrentReferenceHashMap.java",9,670
"lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader.java",9,205
"lang/java/tools/src/main/java/org/apache/avro/tool/DataFileRepairTool.java",9,245
"lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroSequenceFile.java",8,324
"lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java",8,317
"lang/java/idl/src/main/java/org/apache/avro/idl/IdlUtils.java",8,466
"lang/java/trevni/core/src/main/java/org/apache/trevni/InputBuffer.java",8,330
"lang/java/trevni/core/src/main/java/org/apache/trevni/OutputBuffer.java",8,284
"lang/java/mapred/src/main/java/org/apache/avro/mapred/Pair.java",8,472
"lang/java/avro/src/main/java/org/apache/avro/generic/PrimitivesArrays.java",8,509
"lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumWriter.java",8,154
"lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java",8,172
"lang/java/tools/src/main/java/org/apache/avro/tool/CatTool.java",7,158
"lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyTransceiver.java",7,371
"lang/java/tools/src/main/java/org/apache/avro/tool/Util.java",7,157
"lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroMultipleOutputs.java",6,254
"lang/java/avro/src/main/java/org/apache/avro/io/FastReaderBuilder.java",5,519
"lang/java/idl/src/main/java/org/apache/avro/idl/IdlReader.java",5,864
"lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java",5,463
"lang/java/avro/src/main/java/org/apache/avro/reflect/ReflectDatumReader.java",5,269
"lang/java/ipc/src/main/java/org/apache/avro/ipc/Responder.java",5,170
"lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/Schemas.java",5,177
"lang/java/avro/src/main/java/org/apache/avro/util/internal/JacksonUtils.java",4,166
"lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java",4,177
"lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java",4,290
"lang/java/avro/src/main/java/org/apache/avro/SchemaCompatibility.java",4,543
"lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDatumConverterFactory.java",3,229
"lang/java/avro/src/main/java/org/apache/avro/Conversions.java",3,292
"lang/java/avro/src/main/java/org/apache/avro/generic/GenericDatumWriter.java",3,279
"lang/java/avro/src/main/java/org/apache/avro/io/ResolvingDecoder.java",3,204
"lang/java/mapred/src/main/java/org/apache/avro/hadoop/file/SortedKeyValueFile.java",3,267
"lang/java/avro/src/main/java/org/apache/avro/io/ValidatingDecoder.java",3,192
"lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/AbstractAvroMojo.java",2,240
"lang/java/avro/src/main/java/org/apache/avro/file/DataFileReader12.java",2,173
"lang/java/avro/src/main/java/org/apache/avro/file/DataFileWriter.java",2,313
"lang/java/avro/src/main/java/org/apache/avro/io/JsonEncoder.java",2,238
"lang/java/avro/src/main/java/org/apache/avro/util/springframework/ObjectUtils.java",2,183
"lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileReader.java",2,169
"lang/java/avro/src/main/java/org/apache/avro/util/TimePeriod.java",2,256
"lang/java/avro/src/main/java/org/apache/avro/reflect/ArrayAccessor.java",1,178
"lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroJob.java",1,163
"lang/java/avro/src/main/java/org/apache/avro/file/DataFileStream.java",1,282
"lang/java/avro/src/main/java/org/apache/avro/data/Json.java",1,176
"lang/java/avro/src/main/java/org/apache/avro/JsonProperties.java",1,165
"lang/java/avro/src/main/java/org/apache/avro/LogicalTypes.java",1,422
"lang/java/perf/src/main/java/org/apache/avro/perf/test/generic/MinBytesPerElementTest.java",1,214
"lang/java/avro/src/main/java/org/apache/avro/data/TimeConversions.java",1,263
